date,code site,NO2,PM10,PM2.5,Latitude,Longitude,meteo_index,distance_meteo,station,temperature,Humidité,wind,rain
2026-03-15 00:00:00,FR09302,0.1,3.7,2.5,46.143234,-0.395913,51012,0.1726514156240816,NIORT,7.0,71.0,4.0,0.0
2026-03-15 00:00:00,FR20048,3.8,3.6,3.1,45.7533,5.0722,21326,0.027385592726835124,LYON-ST EXUPERY,2.400000000000034,100.0,0.6,0.0
2026-03-15 00:00:00,FR09103,11.1,5.3,4.5,45.647427,0.167162,98137,0.4833145770137705,COGNAC,7.2000000000000455,88.0,0.0,0.0
2026-03-15 00:00:00,FR03006,7.3,5.6,0.9,43.27645,5.39736,1967,0.24265689911683966,MARIGNANE,6.800000000000011,73.0,1.9,0.0
2026-03-15 00:00:00,FR03014,4.8,4.1,1.8,43.34805,5.360119,1967,0.16971002577926686,MARIGNANE,6.800000000000011,73.0,1.9,0.0
2026-03-15 00:00:00,FR03029,12.2,3.8,2.4,43.530285,5.440912,1967,0.24323548603770834,MARIGNANE,6.800000000000011,73.0,1.9,0.0
2026-03-15 00:00:00,FR03043,5.2,3.4,2.0,43.305286,5.394716,1967,0.22240534574735069,MARIGNANE,6.800000000000011,73.0,1.9,0.0
2026-03-15 00:00:00,FR03068,4.9,4.5,2.1,43.12682,5.921605,69728,0.22692652649040523,HYERES,11.700000000000044,83.0,2.1,0.0
2026-03-15 00:00:00,FR03070,2.4,5.2,4.6,43.437874,6.76839,8733,0.2173388597927202,CANNES,-0.0999999999999659,72.0,2.9,0.0
2026-03-15 00:00:00,FR01020,28.2,13.5,11.0,49.358337,6.156942,64482,0.38868854194715,AEROPORT METZ-NANCY-LORRAINE,18.200000000000045,63.0,5.7,0.0
2026-03-15 00:00:00,FR03071,1.0,7.9,2.5,43.13111,5.924184,69728,0.22490874139526043,HYERES,11.700000000000044,83.0,2.1,0.0
2026-03-15 00:00:00,FR03091,1.8,8.8,2.1,43.9314,4.826875,84871,0.07824209298069573,AVIGNON,16.100000000000023,42.0,11.1,0.0
2026-03-15 00:00:00,FR04002,24.9,7.1,4.8,48.93032,2.29435,28086,0.1170309604250124,PARIS-MONTSOURIS,5.900000000000034,88.0,4.3,0.0
2026-03-15 00:00:00,FR04004,24.2,9.4,7.2,48.891666,2.346667,28086,0.07055423131889679,PARIS-MONTSOURIS,5.900000000000034,88.0,4.3,0.0
2026-03-15 00:00:00,FR04034,24.2,6.1,4.9,48.775898,2.375788,28086,0.059459090019945725,PARIS-MONTSOURIS,5.900000000000034,88.0,4.3,0.0
2026-03-15 00:00:00,FR04055,12.6,9.0,7.6,48.86212,2.344616,28086,0.04101773150723906,PARIS-MONTSOURIS,5.900000000000034,88.0,4.3,0.0
2026-03-15 00:00:00,FR04058,92.0,29.7,10.5,48.925278,2.356667,36183,0.08252044004366695,LE BOURGET,8.400000000000034,96.0,3.9,0.6
2026-03-15 00:00:00,FR04122,28.7,26.3,18.9,48.528057,2.653611,73186,0.08625300282888723,MELUN,8.0,92.0,0.8,0.0
2026-03-15 00:00:00,FR04131,15.4,6.7,7.8,48.873333,2.330278,28086,0.052215453469260015,PARIS-MONTSOURIS,5.900000000000034,88.0,4.3,0.0
2026-03-15 00:00:00,FR03080,1.8,4.5,1.8,43.949673,4.804341,84871,0.10538095122459196,AVIGNON,16.100000000000023,42.0,11.1,0.0
2026-03-15 00:00:00,FR02022,2.1,7.9,1.9,43.675114,4.62921,77211,0.23741947917135908,NIMES-GARONS,11.5,96.0,1.3,0.0
2026-03-15 00:00:00,FR09404,11.9,7.0,5.3,46.584,0.345582,95717,0.032759546547531306,POITIERS-BIARD,4.0,73.0,4.1,0.0
2026-03-15 00:00:00,FR02041,2.1,3.8,1.9,43.639004,5.101097,8164,0.027066079324495534,SALON DE PROVENCE,2.5,69.0,4.4,0.0
2026-03-15 00:00:00,FR10030,15.2,21.4,19.6,50.71703,1.605913,64606,0.01668332748584695,BOULOGNE-SEM,11.0,84.0,6.7,0.0
2026-03-15 00:00:00,FR16066,7.4,8.8,6.5,47.737415,7.309075,30066,0.21516902650706834,COLMAR-MEYENHEIM,-3.0,94.0,1.2,0.0
2026-03-15 00:00:00,FR18042,7.7,5.3,4.4,49.851334,3.284,86606,0.08469395492595615,ST QUENTIN,6.900000000000034,89.0,4.8,0.0
2026-03-15 00:00:00,FR18043,13.8,4.7,4.0,49.259552,2.474397,17854,0.2516274077301608,ROISSY,8.5,92.0,5.1,0.0
2026-03-15 00:00:00,FR18053,15.4,6.0,5.1,49.90167,2.304597,64336,0.4053544501605962,MEAULTE,15.900000000000034,77.0,6.3,0.0
2026-03-15 00:00:00,FR18057,4.2,6.9,6.1,49.17493,3.260819,86606,0.6457341118215756,ST QUENTIN,6.900000000000034,89.0,4.8,0.0
2026-03-15 00:00:00,FR18058,2.4,4.3,3.0,49.61563,1.963259,45806,0.23552237550602464,BEAUVAIS-TILLE,7.600000000000023,99.0,5.2,0.2
2026-03-15 00:00:00,FR18089,12.1,3.3,2.3,49.435932,2.084292,45806,0.04415821836306333,BEAUVAIS-TILLE,7.600000000000023,99.0,5.2,0.2
2026-03-15 00:00:00,FR19002,33.3,15.5,11.8,48.10861,-1.66586,45820,0.07890037597502358,RENNES-ST JACQUES,10.300000000000011,94.0,3.1,0.0
2026-03-15 00:00:00,FR19012,40.6,19.2,15.7,48.38618,-4.4866,31036,0.11683514324894023,LANVEOC,5.7000000000000455,89.0,2.7,0.0
2026-03-15 00:00:00,FR19014,41.0,26.5,20.4,48.39746,-4.48871,45674,0.11266122659548876,BREST-GUIPAVAS,10.700000000000044,95.0,6.4,0.2
2026-03-15 00:00:00,FR19020,1.2,4.8,3.2,48.261963,-2.943631,57436,0.2890576061358658,ST BRIEUC,8.800000000000011,79.0,6.0,0.0
2026-03-15 00:00:00,FR19032,20.5,19.9,17.7,47.7425,-3.39501,36196,0.04545792051997131,LORIENT-LANN BIHOUE,11.900000000000034,82.0,4.0,0.0
2026-03-15 00:00:00,FR19033,13.0,10.9,9.6,47.64892,-2.76399,36196,0.6812680558326514,LORIENT-LANN BIHOUE,11.900000000000034,82.0,4.0,0.0
2026-03-15 00:00:00,FR19037,13.1,11.4,10.0,47.758945,-3.36938,36196,0.06640092554324845,LORIENT-LANN BIHOUE,11.900000000000034,82.0,4.0,0.0
2026-03-15 00:00:00,FR19039,34.3,21.0,17.6,48.11521,-1.673088,45820,0.07655780739415137,RENNES-ST JACQUES,10.300000000000011,94.0,3.1,0.0
2026-03-15 00:00:00,FR19053,22.6,23.3,21.3,47.986607,-4.097658,17290,0.06446149649209225,QUIMPER,7.2000000000000455,99.0,2.7,0.0
2026-03-15 00:00:00,FR09303,7.6,5.6,4.6,46.320026,-0.482861,51012,0.08280023481246901,NIORT,7.0,71.0,4.0,0.0
2026-03-15 00:00:00,FR15053,10.5,3.4,0.3,45.15467,5.74523,18191,0.4799521512703092,GRENOBLE-ST GEOIRS,11.900000000000034,57.0,1.8,0.0
2026-03-15 00:00:00,FR16029,8.2,5.5,4.5,48.610363,7.781631,84811,0.1538487230138739,STRASBOURG-ENTZHEIM,10.400000000000034,57.0,8.2,0.0
2026-03-15 00:00:00,FR16054,14.5,14.2,5.0,48.074444,7.3505554,30066,0.15656522150069185,COLMAR-MEYENHEIM,-3.0,94.0,1.2,0.0
2026-03-15 00:00:00,FR15048,2.0,1.5,1.1,45.2797,5.8822,95454,0.36165738854474333,CHAMBERY-AIX,7.800000000000011,53.0,5.7,1.2
2026-03-15 00:00:00,FR05083,10.9,10.1,7.2,49.50273,0.232486,27638,0.14403563330301325,OCTEVILLE,7.400000000000034,86.0,4.4,0.0
2026-03-15 00:00:00,FR14042,19.3,27.6,23.5,48.645836,4.966111,22980,0.06410608508558334,ST-DIZIER,0.8000000000000114,96.0,3.7,0.0
2026-03-15 00:00:00,FR11034,38.4,17.5,18.4,50.706535,3.18066,25642,0.15986679400363463,LILLE-LESQUIN,5.2000000000000455,97.0,4.3,0.0
2026-03-15 00:00:00,FR11038,22.5,14.6,11.5,50.733334,3.173611,25642,0.18019678098401112,LILLE-LESQUIN,5.2000000000000455,97.0,4.3,0.0
2026-03-15 00:00:00,FR11114,10.4,10.8,8.5,50.59774,3.04946,25642,0.05547386051105609,LILLE-LESQUIN,5.2000000000000455,97.0,4.3,0.0
2026-03-15 00:00:00,FR15043,2.0,2.5,1.9,45.1619,5.7356,18191,0.46813868595641345,GRENOBLE-ST GEOIRS,11.900000000000034,57.0,1.8,0.0
2026-03-15 00:00:00,FR12020,1.2,3.9,2.7,43.6287,0.179069,68999,0.42638340915659434,AUCH,16.400000000000034,56.0,5.3,0.0
2026-03-15 00:00:00,FR20013,8.3,1.3,0.0,45.720024,4.818156,79016,0.13101753929150095,LYON-BRON,12.300000000000011,78.0,7.1,0.0
2026-03-15 00:00:00,FR12052,2.5,4.1,2.4,43.230297,0.062339,82594,0.07533383788178998,TARBES-LOURDES-PYRENEES,5.800000000000011,79.0,4.1,0.2
2026-03-15 00:00:00,FR10016,23.1,9.9,7.2,50.94729,1.84308,64606,0.32462999348335075,BOULOGNE-SEM,11.0,84.0,6.7,0.0
